claim_id,days_to_claim,amount,incident_type,is_fraud
CLM-1064,274,10329,Bilolycka,0
CLM-1065,306,4127,Glasskada,0
CLM-1066,174,12535,Glasskada,0
CLM-1067,231,19299,Bilolycka,0
CLM-1068,35,25211,Bilolycka,0
CLM-1069,212,15908,Oklart/Annat,0
CLM-1070,66,22255,Inbrott,0
CLM-1071,104,11550,Vattenskada,0
CLM-1072,243,29715,Inbrott,0
CLM-1073,11,22665,Glasskada,0
CLM-1074,251,22141,Glasskada,0
CLM-1075,177,44173,Bilolycka,0
CLM-1076,220,2126,Inbrott,0
CLM-1077,231,7842,Bilolycka,0
CLM-1078,196,22306,Bilolycka,0
CLM-1079,225,500,Glasskada,0
CLM-1080,168,33426,Glasskada,0
CLM-1081,190,20122,Vattenskada,0
CLM-1082,243,13928,Bilolycka,0
CLM-1083,96,23534,Bilolycka,0
CLM-1084,239,16080,Glasskada,0
CLM-1085,149,9017,Vattenskada,0
CLM-1086,238,4311,Inbrott,0
CLM-1087,0,96156,Inbrott,1
CLM-1088,204,11309,Vattenskada,0
CLM-1089,208,11677,Glasskada,0
CLM-1090,131,25614,Bilolycka,0
CLM-1091,347,23466,Vattenskada,0
CLM-1092,136,9125,Vattenskada,0
CLM-1093,233,13085,Vattenskada,0
CLM-1094,374,9889,Vattenskada,0
CLM-1095,268,500,Glasskada,0
CLM-1096,220,8975,Inbrott,0
CLM-1097,97,4241,Inbrott,0
CLM-1098,289,25771,Inbrott,0
CLM-1099,266,10818,Glasskada,0
CLM-1100,63,23052,Vattenskada,0
CLM-1101,157,19529,Inbrott,0
CLM-1102,303,37723,Bilolycka,0
CLM-1103,255,16041,Inbrott,0
CLM-1104,132,16990,Glasskada,0
CLM-1105,37,24762,Vattenskada,0
CLM-1106,60,500,Vattenskada,0
CLM-1107,172,14673,Bilolycka,0
CLM-1108,45,11624,Glasskada,0
CLM-1109,230,2369,Glasskada,0
CLM-1110,284,8334,Vattenskada,0
CLM-1111,176,16251,Glasskada,0
CLM-1112,107,5872,Oklart/Annat,0
CLM-1113,181,500,Inbrott,0
CLM-1114,91,23558,Bilolycka,0
CLM-1115,77,19953,Glasskada,0
CLM-1116,46,15292,Bilolycka,0
CLM-1117,142,17330,Inbrott,0
CLM-1118,264,29987,Glasskada,0
CLM-1119,237,6464,Inbrott,0
CLM-1120,162,30658,Glasskada,0
CLM-1121,144,19789,Vattenskada,0
CLM-1122,281,13772,Glasskada,0
CLM-1123,6,85431,Vattenskada,1
CLM-1124,207,30267,Bilolycka,0
CLM-1125,174,9816,Glasskada,0
CLM-1126,211,26194,Glasskada,0
CLM-1127,142,20056,Vattenskada,0
CLM-1128,176,25306,Bilolycka,0
CLM-1129,94,37801,Vattenskada,0
CLM-1130,239,24402,Bilolycka,0
CLM-1131,173,8855,Inbrott,0
CLM-1132,100,3371,Glasskada,0
CLM-1133,107,500,Bilolycka,0
CLM-1134,355,34917,Bilolycka,0
CLM-1135,257,6290,Glasskada,0
CLM-1136,47,26267,Inbrott,0
CLM-1137,169,25150,Vattenskada,0
CLM-1138,190,16258,Inbrott,0
CLM-1139,144,15001,Vattenskada,0
CLM-1140,237,500,Vattenskada,0
CLM-1141,164,30890,Vattenskada,0
CLM-1142,143,17944,Vattenskada,0
CLM-1143,238,25286,Vattenskada,0
CLM-1144,175,13913,Vattenskada,0
CLM-1145,199,13960,Inbrott,0
CLM-1146,95,16356,Vattenskada,0
CLM-1147,167,9156,Oklart/Annat,0
CLM-1148,150,28967,Glasskada,0
CLM-1149,5,62714,Glasskada,1
CLM-1150,267,11143,Bilolycka,0
CLM-1151,226,500,Glasskada,0
CLM-1152,112,9646,Glasskada,0
CLM-1153,148,17581,Glasskada,0
CLM-1154,129,16014,Bilolycka,0
CLM-1155,53,104783,Vattenskada,1
CLM-1156,262,2374,Glasskada,0
CLM-1157,72,11543,Glasskada,0
CLM-1158,264,14271,Bilolycka,0
CLM-1159,192,28766,Inbrott,0
CLM-1160,154,41505,Bilolycka,0
CLM-1161,161,5718,Inbrott,0
CLM-1162,164,7968,Inbrott,0
CLM-1163,203,500,Vattenskada,0
CLM-1164,174,500,Inbrott,0
CLM-1165,344,10342,Glasskada,0
CLM-1166,233,500,Vattenskada,0
CLM-1167,242,28825,Bilolycka,0
CLM-1168,135,500,Glasskada,0
CLM-1169,118,22425,Vattenskada,0
CLM-1170,252,22881,Inbrott,0
CLM-1171,183,12214,Bilolycka,0
CLM-1172,269,8778,Vattenskada,0
CLM-1173,237,36855,Bilolycka,0
CLM-1174,239,30673,Bilolycka,0
CLM-1175,218,7472,Vattenskada,0
CLM-1176,243,14405,Glasskada,0
CLM-1177,339,34021,inbrott,0
CLM-1178,228,2396,Oklart/Annat,0
CLM-1179,368,10168,Glasskada,0
CLM-1180,141,10199,Inbrott,0
CLM-1181,231,32327,Glasskada,0
CLM-1182,160,9849,Bilolycka,0
CLM-1183,210,10997,Glasskada,0
CLM-1184,265,22565,Bilolycka,0
CLM-1185,213,500,Bilolycka,0
CLM-1186,142,19241,Glasskada,0
CLM-1187,151,9435,Vattenskada,0
CLM-1188,23,57001,Inbrott,1
CLM-1189,145,8453,Glasskada,0
CLM-1190,68,29483,Vattenskada,0
CLM-1191,196,16048,Vattenskada,0
CLM-1192,64,11153,Bilolycka,0
CLM-1193,299,12839,inbrott,0
CLM-1194,388,10268,Vattenskada,0
CLM-1195,367,7040,Inbrott,0
CLM-1196,245,17600,Vattenskada,0
CLM-1197,225,16393,Vattenskada,0
CLM-1198,140,16879,Vattenskada,0
CLM-1199,184,500,Vattenskada,0
CLM-1200,168,14455,Bilolycka,0
CLM-1201,205,27222,Glasskada,0
CLM-1202,0,15429,Inbrott,0
CLM-1203,122,6735,Vattenskada,0
CLM-1204,127,33504,Inbrott,0
CLM-1205,169,11891,Vattenskada,0
CLM-1206,149,24953,Inbrott,0
CLM-1207,0,500,Bilolycka,0
CLM-1208,299,32889,Inbrott,0
CLM-1209,164,31480,Glasskada,0
CLM-1210,150,17449,Bilolycka,0
CLM-1211,239,25020,Inbrott,0
CLM-1212,153,500,Glasskada,0
CLM-1213,284,9539,Vattenskada,0
CLM-1214,210,7381,Inbrott,0
CLM-1215,178,20278,Inbrott,0
CLM-1216,336,14270,Glasskada,0
CLM-1217,208,16916,Glasskada,0
CLM-1218,190,25399,Glasskada,0
CLM-1219,191,1657,Bilolycka,0
CLM-1220,13,193722,Glasskada,1
CLM-1221,249,17098,Bilolycka,0
CLM-1222,104,25611,Inbrott,0
CLM-1223,236,23074,Bilolycka,0
CLM-1224,78,6190,Inbrott,0
CLM-1225,260,500,Bilolycka,0
CLM-1226,303,1099,Glasskada,0
CLM-1227,105,10933,Vattenskada,0
CLM-1228,298,10346,Bilolycka,0
CLM-1229,202,32675,Bilolycka,0
CLM-1230,241,13756,Vattenskada,0
CLM-1231,215,13751,Bilolycka,0
CLM-1232,159,14323,Vattenskada,0
CLM-1233,188,27128,Bilolycka,0
CLM-1234,103,500,Glasskada,0
CLM-1235,312,1319,Vattenskada,0
CLM-1236,282,25915,Glasskada,0
CLM-1237,0,9464,Glasskada,0
CLM-1238,123,32919,Glasskada,0
CLM-1239,118,7577,Glasskada,0
CLM-1240,330,29762,Glasskada,0
CLM-1241,112,13669,Glasskada,0
CLM-1242,181,17253,Vattenskada,0
CLM-1243,173,18049,Inbrott,0
CLM-1244,128,18103,Bilolycka,0
CLM-1245,309,15341,Bilolycka,0
CLM-1246,196,15660,Glasskada,0
CLM-1247,190,500,Inbrott,0
CLM-1248,130,15897,Glasskada,0
CLM-1249,203,27641,Vattenskada,0
CLM-1250,28,500,Inbrott,1
CLM-1251,211,10223,Glasskada,0
CLM-1252,223,16466,Vattenskada,0
CLM-1253,139,17280,Vattenskada,0
CLM-1254,231,12717,Glasskada,0
CLM-1255,273,18078,Inbrott,0
CLM-1256,213,16693,Bilolycka,0
CLM-1257,208,19953,Bilolycka,0
CLM-1258,82,13660,Inbrott,0
CLM-1259,176,26764,Inbrott,0
CLM-1260,91,30044,Glasskada,0
CLM-1261,186,12267,Vattenskada,0
CLM-1262,131,15305,Vattenskada,0
CLM-1263,95,1398,Inbrott,0
CLM-1264,326,25647,Vattenskada,0
CLM-1265,189,50542,Oklart/Annat,0
CLM-1266,117,19018,Vattenskada,0
CLM-1267,146,31730,Bilolycka,0
CLM-1268,263,8723,Inbrott,0
CLM-1269,177,27774,Vattenskada,0
CLM-1270,216,15377,Inbrott,0
CLM-1271,195,21141,Inbrott,0
CLM-1272,22,9445,Vattenskada,0
CLM-1273,254,12679,Inbrott,0
CLM-1274,48,17581,Bilolycka,0
CLM-1275,197,4034,Inbrott,0
CLM-1276,263,22289,Vattenskada,0
CLM-1277,179,10728,Vattenskada,0
CLM-1278,116,31426,Bilolycka,0
CLM-1279,125,18957,Vattenskada,0
CLM-1280,93,15551,Vattenskada,0
CLM-1281,132,5930,Vattenskada,0
CLM-1282,65,20333,Vattenskada,0
CLM-1283,27,25577,Glasskada,0
CLM-1284,76,9486,Vattenskada,0
CLM-1285,143,9602,Glasskada,0
CLM-1286,16,500,Vattenskada,1
CLM-1287,93,22500,Inbrott,0
CLM-1288,1,69196,Glasskada,1
CLM-1289,210,7749,Vattenskada,0
CLM-1290,135,500,Glasskada,0
CLM-1291,9,500,Glasskada,1
CLM-1292,350,16958,Glasskada,0
CLM-1293,357,2959,inbrott,0
CLM-1294,177,32850,Glasskada,0
CLM-1295,201,36637,Vattenskada,0
CLM-1296,158,18564,Vattenskada,0
CLM-1297,155,21103,Vattenskada,0
CLM-1298,166,616,Inbrott,0
CLM-1299,0,34568,Glasskada,1
CLM-1300,214,15069,Inbrott,0
CLM-1301,214,14589,Oklart/Annat,0
CLM-1302,274,21391,Inbrott,0
CLM-1303,44,11178,Glasskada,0
CLM-1304,321,5354,Vattenskada,0
CLM-1305,73,16933,Vattenskada,0
CLM-1306,223,27034,Bilolycka,0
CLM-1307,232,16366,Vattenskada,0
CLM-1308,113,26157,Vattenskada,0
CLM-1309,191,14425,Glasskada,0
CLM-1310,315,24821,Inbrott,0
CLM-1311,109,24192,Bilolycka,0
CLM-1312,249,10327,Glasskada,0
CLM-1313,108,500,Inbrott,0
CLM-1314,140,14735,Bilolycka,0
CLM-1315,258,20533,Vattenskada,0
CLM-1316,225,26427,inbrott,0
CLM-1317,183,13473,Glasskada,0
CLM-1318,240,7894,Bilolycka,0
CLM-1319,217,3113,Inbrott,0
CLM-1320,146,11581,Bilolycka,0
CLM-1321,206,12808,Inbrott,0
CLM-1322,140,16185,Bilolycka,0
CLM-1323,185,21888,Bilolycka,0
CLM-1324,173,18109,Glasskada,0
CLM-1325,279,17290,Vattenskada,0
CLM-1326,316,500,Inbrott,0
CLM-1327,0,14004,Bilolycka,0
CLM-1328,177,23319,Glasskada,0
CLM-1329,193,29742,Glasskada,0
CLM-1330,0,34721,Inbrott,1
CLM-1331,0,31664,Vattenskada,0
CLM-1332,0,80209,Inbrott,1
CLM-1333,256,2365,Glasskada,0
CLM-1334,201,6356,Vattenskada,0
CLM-1335,23,88486,Inbrott,1
CLM-1336,0,500,inbrott,1
CLM-1337,196,4398,Glasskada,0
CLM-1338,286,26231,Inbrott,0
CLM-1339,154,20653,Inbrott,0
CLM-1340,384,31206,Inbrott,0
CLM-1341,158,5190,Inbrott,0
CLM-1342,41,500,Inbrott,1
CLM-1343,0,26666,Vattenskada,0
CLM-1344,173,3166,Bilolycka,0
CLM-1345,144,22194,Bilolycka,0
CLM-1346,173,24489,Inbrott,0
CLM-1347,297,6217,Bilolycka,0
CLM-1348,96,6823,Vattenskada,0
CLM-1349,0,83018,Vattenskada,1
CLM-1350,219,26631,Inbrott,0
CLM-1351,255,28421,Inbrott,0
CLM-1352,135,24711,Inbrott,0
CLM-1353,55,8001,Glasskada,0
CLM-1354,88,30286,Inbrott,0
CLM-1355,211,5323,Glasskada,0
CLM-1356,6,14092,Glasskada,0
CLM-1357,61,15619,vattenskada,0
CLM-1358,191,19902,Glasskada,0
CLM-1359,234,18487,Vattenskada,0
CLM-1360,146,16984,Vattenskada,0
CLM-1361,294,14019,bilolycka,0
CLM-1362,94,23966,Bilolycka,0
CLM-1363,154,25842,Vattenskada,0
CLM-1364,164,7949,Vattenskada,0
CLM-1365,234,1299,Inbrott,0
CLM-1366,97,24790,Bilolycka,0
CLM-1367,113,10924,Vattenskada,0
CLM-1368,193,9842,Glasskada,0
CLM-1369,290,6423,Bilolycka,0
CLM-1370,331,6655,Bilolycka,0
CLM-1371,229,24020,Bilolycka,0
CLM-1372,223,22594,Glasskada,0
CLM-1373,63,2064,Bilolycka,0
CLM-1374,110,9191,Inbrott,0
CLM-1375,174,11414,Bilolycka,0
CLM-1376,152,2327,Vattenskada,0
CLM-1377,0,10835,Inbrott,0
CLM-1378,263,11453,Bilolycka,0
CLM-1379,154,16437,Vattenskada,0
CLM-1380,205,12149,glasskada,0
CLM-1381,135,16149,Vattenskada,0
CLM-1382,170,11481,Vattenskada,0
CLM-1383,233,17532,Vattenskada,0
CLM-1384,82,500,Vattenskada,0
CLM-1385,142,5916,Bilolycka,0
CLM-1386,161,16217,Glasskada,0
CLM-1387,84,27110,Bilolycka,0
CLM-1388,27,34251,Vattenskada,0
CLM-1389,116,11621,Inbrott,0
CLM-1390,56,28336,Bilolycka,0
CLM-1391,144,12495,Glasskada,0
CLM-1392,91,15945,Inbrott,0
CLM-1393,258,18185,bilolycka,0
CLM-1394,301,7110,Vattenskada,0
CLM-1395,66,26706,Glasskada,0
CLM-1396,95,17556,Vattenskada,0
CLM-1397,156,20024,Bilolycka,0
CLM-1398,126,19978,Glasskada,0
CLM-1399,254,32516,Inbrott,0
CLM-1400,195,24912,Inbrott,0
CLM-1401,229,16319,Glasskada,0
CLM-1402,167,31716,Bilolycka,0
CLM-1403,369,27586,Bilolycka,0
CLM-1404,305,20918,Bilolycka,0
CLM-1405,173,18327,bilolycka,0
CLM-1406,206,3751,Bilolycka,0
CLM-1407,145,20069,Bilolycka,0
CLM-1408,130,20568,Bilolycka,0
CLM-1409,123,21468,Bilolycka,0
CLM-1410,56,9334,Vattenskada,0
CLM-1411,204,23941,Bilolycka,0
CLM-1412,128,14411,Inbrott,0
CLM-1413,171,2458,Vattenskada,0
CLM-1414,152,18065,Vattenskada,0
CLM-1415,132,29638,Bilolycka,0
CLM-1416,0,23506,Vattenskada,0
CLM-1417,26,10936,Vattenskada,0
CLM-1418,298,4935,Vattenskada,0
CLM-1419,120,4129,Vattenskada,0
CLM-1420,76,5571,Glasskada,0
CLM-1421,102,24939,Glasskada,0
CLM-1422,0,61112,glasskada,1
CLM-1423,360,15551,Glasskada,0
CLM-1424,64,11081,Bilolycka,0
CLM-1425,287,500,Glasskada,0
CLM-1426,228,17345,Glasskada,0
CLM-1427,211,11965,Oklart/Annat,0
CLM-1428,217,25456,Vattenskada,0
CLM-1429,20,19823,Bilolycka,0
CLM-1430,153,9527,Bilolycka,0
CLM-1431,46,500,bilolycka,0
CLM-1432,201,18239,Glasskada,0
CLM-1433,168,10772,Inbrott,0
CLM-1434,212,11050,Vattenskada,0
CLM-1435,219,7421,Vattenskada,0
CLM-1436,26,35961,Vattenskada,0
CLM-1437,184,6432,Vattenskada,0
CLM-1438,169,14065,Vattenskada,0
CLM-1439,12,28852,Glasskada,0
CLM-1440,280,29717,Bilolycka,0
CLM-1441,250,15976,Inbrott,0
CLM-1442,257,500,Bilolycka,0
CLM-1443,111,9726,Glasskada,0
CLM-1444,141,8995,Bilolycka,0
CLM-1445,162,12295,vattenskada,0
CLM-1446,371,13327,Inbrott,0
CLM-1447,335,500,glasskada,0
CLM-1448,231,12709,Vattenskada,0
CLM-1449,151,13658,Bilolycka,0
CLM-1450,288,22473,Bilolycka,0
CLM-1451,0,40698,Inbrott,1
CLM-1452,106,13375,bilolycka,0
CLM-1453,423,24223,Bilolycka,0
CLM-1454,126,24943,Vattenskada,0
CLM-1455,189,17847,Bilolycka,0
CLM-1456,32,21033,Glasskada,0
CLM-1457,96,12734,Bilolycka,0
CLM-1458,223,34865,Glasskada,0
CLM-1459,296,21128,Bilolycka,0
CLM-1460,134,13562,Inbrott,0
CLM-1461,210,11044,Inbrott,0
CLM-1462,230,17247,Inbrott,0
CLM-1463,215,20754,Inbrott,0
CLM-1464,335,9936,Glasskada,0
CLM-1465,23,12651,Glasskada,0
CLM-1466,219,500,Inbrott,0
CLM-1467,211,11990,Bilolycka,0
CLM-1468,0,27227,Glasskada,0
CLM-1469,175,30954,Bilolycka,0
CLM-1470,0,7242,Inbrott,0
CLM-1471,260,18592,Glasskada,0
CLM-1472,118,22845,Bilolycka,0
CLM-1473,178,13999,Glasskada,0
CLM-1474,67,5604,Inbrott,0
CLM-1475,49,10129,Inbrott,0
CLM-1476,211,5921,Vattenskada,0
CLM-1477,36,139619,Glasskada,1
CLM-1478,259,20640,Inbrott,0
CLM-1479,191,11640,Bilolycka,0
CLM-1480,134,500,Glasskada,0
CLM-1481,183,24245,Glasskada,0
CLM-1482,197,8321,Inbrott,0
CLM-1483,60,9960,Bilolycka,0
CLM-1484,188,500,Vattenskada,0
CLM-1485,34,11803,Oklart/Annat,0
CLM-1486,217,16622,Bilolycka,0
CLM-1487,120,4703,Vattenskada,0
CLM-1488,62,16994,Vattenskada,0
CLM-1489,136,23459,Oklart/Annat,0
CLM-1490,256,8492,Inbrott,0
CLM-1491,171,27807,Inbrott,0
CLM-1492,115,4488,Vattenskada,0
CLM-1493,171,24231,Glasskada,0
CLM-1494,258,500,Vattenskada,0
CLM-1495,130,7003,Bilolycka,0
CLM-1496,295,8194,Bilolycka,0
CLM-1497,159,24552,Inbrott,0
CLM-1498,54,9737,Glasskada,0
CLM-1499,246,23786,Glasskada,0
CLM-1500,115,16409,inbrott,0
CLM-1501,8,7267,Bilolycka,0
CLM-1502,160,6113,Inbrott,0
CLM-1503,275,28652,Glasskada,0
CLM-1504,0,2393,Inbrott,0
CLM-1505,275,12594,Bilolycka,0
CLM-1506,25,10062,Glasskada,0
CLM-1507,198,19558,Inbrott,0
CLM-1508,74,500,Bilolycka,0
CLM-1509,198,21448,Vattenskada,0
CLM-1510,31,18637,Inbrott,0
CLM-1511,0,500,Bilolycka,1
CLM-1512,183,17005,inbrott,0
CLM-1513,98,12078,Glasskada,0
CLM-1514,106,23066,Inbrott,0
CLM-1515,147,38410,Glasskada,0
CLM-1516,146,6912,Bilolycka,0
CLM-1517,14,75205,Inbrott,1
CLM-1518,226,15448,Inbrott,0
CLM-1519,12,14911,Vattenskada,0
CLM-1520,160,34538,Glasskada,0
CLM-1521,176,16867,Glasskada,0
CLM-1522,177,14082,Inbrott,0
CLM-1523,79,16236,Vattenskada,0
CLM-1524,158,15442,Bilolycka,0
CLM-1525,63,7637,Glasskada,0
CLM-1526,146,19010,Vattenskada,0
CLM-1527,277,17619,bilolycka,0
CLM-1528,116,500,Vattenskada,0
CLM-1529,0,21097,Inbrott,0
CLM-1530,217,8147,Vattenskada,0
CLM-1531,268,28383,Bilolycka,0
CLM-1532,240,5347,Vattenskada,0
CLM-1533,183,14784,Vattenskada,0
CLM-1534,232,17945,Vattenskada,0
CLM-1535,159,11131,Vattenskada,0
CLM-1536,222,26243,Vattenskada,0
CLM-1537,210,27428,Glasskada,0
CLM-1538,21,44218,Vattenskada,1
CLM-1539,119,10324,Inbrott,0
CLM-1540,171,4801,Inbrott,0
CLM-1541,31,500,Glasskada,0
CLM-1542,231,19846,bilolycka,0
CLM-1543,257,500,Inbrott,0
CLM-1544,218,500,Glasskada,0
CLM-1545,348,19998,Glasskada,0
CLM-1546,161,3002,Glasskada,0
CLM-1547,378,6507,Oklart/Annat,0
CLM-1548,261,9333,Glasskada,0
CLM-1549,222,21020,Glasskada,0
CLM-1550,172,15995,Bilolycka,0
CLM-1551,255,11128,vattenskada,0
CLM-1552,233,9154,Vattenskada,0
CLM-1553,278,17923,Bilolycka,0
CLM-1554,39,19118,Glasskada,0
CLM-1555,234,20740,Glasskada,0
CLM-1556,160,500,Bilolycka,0
CLM-1557,56,14772,Bilolycka,0
CLM-1558,124,3576,Vattenskada,0
CLM-1559,175,7022,Bilolycka,0
CLM-1560,211,8478,Inbrott,0
CLM-1561,80,9164,Bilolycka,0
CLM-1562,124,11975,Glasskada,0
CLM-1563,24,11779,Bilolycka,0
CLM-1564,132,8355,Bilolycka,0
CLM-1565,265,9231,Inbrott,0
CLM-1566,134,9962,Vattenskada,0
CLM-1567,319,13013,Vattenskada,0
CLM-1568,206,14167,Vattenskada,0
CLM-1569,222,2970,Glasskada,0
CLM-1570,244,7326,Glasskada,0
CLM-1571,0,46255,Bilolycka,1
CLM-1572,179,26301,Bilolycka,0
CLM-1573,134,10512,Vattenskada,0
CLM-1574,135,4288,Glasskada,0
CLM-1575,243,11898,Bilolycka,0
CLM-1576,179,25690,Vattenskada,0
CLM-1577,259,22196,Inbrott,0
CLM-1578,157,6736,Vattenskada,0
CLM-1579,297,18359,Inbrott,0
CLM-1580,220,38968,Oklart/Annat,0
CLM-1581,52,38292,Inbrott,0
CLM-1582,334,19097,Bilolycka,0
CLM-1583,94,7731,Inbrott,0
CLM-1584,118,18810,Vattenskada,0
CLM-1585,222,21520,Glasskada,0
CLM-1586,264,4781,vattenskada,0
CLM-1587,128,31731,Bilolycka,0
CLM-1588,103,17481,Vattenskada,0
CLM-1589,301,11615,Vattenskada,0
CLM-1590,74,11959,Glasskada,0
CLM-1591,282,16505,Glasskada,0
CLM-1592,216,500,Glasskada,0
CLM-1593,165,8863,Inbrott,0
CLM-1594,233,9502,Inbrott,0
CLM-1595,197,16299,Glasskada,0
CLM-1596,63,13170,Vattenskada,0
CLM-1597,211,28788,Glasskada,0
CLM-1598,0,506,Glasskada,0
CLM-1599,205,4152,Inbrott,0
CLM-1600,76,500,Vattenskada,0
CLM-1601,285,39479,Inbrott,0
CLM-1602,35,23401,Bilolycka,0
CLM-1603,0,21894,Bilolycka,1
CLM-1604,25,50812,Glasskada,1
CLM-1605,4,19263,Inbrott,0
CLM-1606,119,10944,Vattenskada,0
CLM-1607,48,13792,Bilolycka,0
CLM-1608,138,15656,Bilolycka,0
CLM-1609,184,20356,Bilolycka,0
CLM-1610,172,7502,Glasskada,0
CLM-1611,208,3088,glasskada,0
CLM-1612,145,13550,Glasskada,0
CLM-1613,153,21516,Glasskada,0
CLM-1614,118,5764,Inbrott,0
CLM-1615,251,12953,Bilolycka,0
CLM-1616,219,14445,Inbrott,0
CLM-1617,268,21545,Glasskada,0
CLM-1618,173,23846,Bilolycka,0
CLM-1619,9,66908,Inbrott,1
CLM-1620,143,32003,Bilolycka,0
CLM-1621,60,30771,Glasskada,0
CLM-1622,168,13520,Inbrott,0
CLM-1623,149,39663,Bilolycka,0
CLM-1624,394,30648,Inbrott,0
CLM-1625,261,18387,bilolycka,0
CLM-1626,184,17516,Glasskada,0
CLM-1627,293,10284,Inbrott,0
CLM-1628,118,16613,Inbrott,0
CLM-1629,184,19479,Glasskada,0
CLM-1630,251,17668,Bilolycka,0
CLM-1631,150,19952,Bilolycka,0
CLM-1632,160,21626,Bilolycka,0
CLM-1633,250,14123,Bilolycka,0
CLM-1634,203,3838,Vattenskada,0
CLM-1635,239,15001,Vattenskada,0
CLM-1636,112,500,Inbrott,0
CLM-1637,228,22270,Glasskada,0
CLM-1638,230,21010,inbrott,0
CLM-1639,264,27159,Glasskada,0
CLM-1640,144,10416,Inbrott,0
CLM-1641,267,27101,Vattenskada,0
CLM-1642,0,500,Vattenskada,1
CLM-1643,202,12177,Vattenskada,0
CLM-1644,205,21096,Bilolycka,0
CLM-1645,184,21554,Vattenskada,0
CLM-1646,188,931,Glasskada,0
CLM-1647,20,138114,Inbrott,1
CLM-1648,148,6898,Vattenskada,0
CLM-1649,163,31209,Bilolycka,0
CLM-1650,110,7479,Vattenskada,0
CLM-1651,186,500,Oklart/Annat,0
CLM-1652,285,13992,Glasskada,0
CLM-1653,98,10235,Glasskada,0
CLM-1654,234,4688,Glasskada,0
CLM-1655,115,11689,Inbrott,0
CLM-1656,109,37083,Bilolycka,0
CLM-1657,85,13004,Inbrott,0
CLM-1658,161,12050,Inbrott,0
CLM-1659,129,2015,Vattenskada,0
CLM-1660,56,4130,Bilolycka,0
CLM-1661,293,4264,Vattenskada,0
CLM-1662,199,29575,Inbrott,0
CLM-1663,95,6430,Inbrott,0
CLM-1664,172,16512,Bilolycka,0
CLM-1665,164,29751,Bilolycka,0
CLM-1666,170,3327,Inbrott,0
CLM-1667,113,500,Glasskada,0
CLM-1668,251,19829,Inbrott,0
CLM-1669,195,22545,Inbrott,0
CLM-1670,108,24701,Bilolycka,0
CLM-1671,69,18767,Glasskada,0
CLM-1672,89,25207,Vattenskada,0
CLM-1673,187,10690,Inbrott,0
CLM-1674,122,28397,Inbrott,0
CLM-1675,251,20485,Inbrott,0
CLM-1676,55,3828,Vattenskada,0
CLM-1677,348,13565,Glasskada,0
CLM-1678,175,18717,Vattenskada,0
CLM-1679,223,10062,Vattenskada,0
CLM-1680,83,30138,Vattenskada,0
CLM-1681,100,500,Vattenskada,0
